yearNum,formattedYear,era,isoYear,BC-AD,peopleBorn,peopleDied,events,booksWritten,modified
-1846,1846 BC,,-1845,BC,,shem_2613,,,2020-05-15 02:01
-2468,2468 BC,,-2467,BC,,,God decides to destroy every living thing,,2020-05-15 02:39
-2400,2400 BC,,-2399,BC,,,God instructs Noah to build the ark,,2020-05-15 02:39
-2347,2347 BC,,-2346,BC,,,"The flood subsides,Leaving the Ark,Noahic Covenant",,2020-05-15 13:10
-2346,2346 BC,,-2345,BC,arphaxad_312,,Noah gets drunk and Canaan is cursed,,2020-05-17 01:14
-1908,1908 BC,,-1907,BC,,arphaxad_312,,,2020-05-17 01:14
-2281,2281 BC,,-2280,BC,eber_1030,,,,2020-05-17 01:14
-2247,2247 BC,,-2246,BC,peleg_2308,,,,2020-05-17 01:15
-2008,2008 BC,,-2007,BC,,peleg_2308,,,2020-05-17 01:15
-2311,2311 BC,,-2310,BC,salah_2455,,,,2020-05-17 01:15
-1878,1878 BC,,-1877,BC,,salah_2455,,,2020-05-17 01:16
-2155,2155 BC,,-2154,BC,nahor_2142,,,,2020-05-17 01:58
-2007,2007 BC,,-2006,BC,,nahor_2142,,,2020-05-17 01:58
-2217,2217 BC,,-2216,BC,reu_2428,,,,2020-05-17 02:00
-1978,1978 BC,,-1977,BC,,reu_2428,,,2020-05-17 02:00
-1955,1955 BC,,-1954,BC,,serug_2503,,,2020-05-17 02:01
-2126,2126 BC,,-2125,BC,terah_2841,,,,2020-05-17 02:01
-1921,1921 BC,,-1920,BC,,terah_2841,"Abraham is called to Canaan,Abraham goes to Egypt",,2020-07-09 12:36
-2246,2246 BC,,-2245,BC,,,Languages are confused at Babel,,2020-05-17 20:17
-1920,1920 BC,,-1919,BC,,,Abraham and Lot Separate,,2020-07-09 12:37
-1918,1918 BC,,-1917,BC,,,,,2020-07-09 12:37
-1755,1755 BC,,-1754,BC,"judah_1751,dan_973,rachel_2386",,,,2020-09-02 16:45
-1721,1721 BC,,-1720,BC,pharez_2338,,,,2020-09-02 01:55
-1757,1757 BC,,-1756,BC,simeon_2741,,,,2020-09-02 01:56
-1754,1754 BC,,-1753,BC,naphtali_2149,,,,2020-09-02 01:57
-1753,1753 BC,,-1752,BC,gad_1262,,,,2020-09-02 01:57
-1752,1752 BC,,-1751,BC,"asher_337,issachar_645",,,,2020-09-02 01:58
-1751,1751 BC,,-1750,BC,zebulun_3002,,,,2020-09-02 01:58
-1750,1750 BC,,-1749,BC,dinah_1012,,,,2020-09-02 01:58
-1720,1720 BC,,-1719,BC,job_1639,,,,2020-09-02 02:02
-1580,1580 BC,,-1579,BC,,job_1639,,,2020-09-02 02:02
-1452,1452 BC,,-1451,BC,,moses_2108,,,2020-09-02 02:03
-1529,1529 BC,,-1528,BC,caleb_537,,,,2020-09-02 02:03
-1122,1122 BC,,-1121,BC,,eli_1072,,,2020-09-13 19:43
-1101,1101 BC,,-1100,BC,,samson_2468,,,2020-09-13 20:20
